Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Leghorn Chicken,They usually live in flocks.Their aggression level is low.,,"This animal has feathers.Its body can be black, white, red, blue, brown and grey.",This animal's natural habitat is industrial farms and small flocks.,
Leichhardts Grasshopper,They can be characterized as solitary.Their aggression level is low.,,This animal has scales.Its body can be orange and blue.,"This animal's natural habitat is tropical forests, woodlands and and grasslands.",It has a diurnal lifestyle.
Lemming,,4.82802,"This animal has fur.Its body can be white, brown and grey.",This animal's natural habitat is arctic tundra and woodland areas.,It has a solitary lifestyle.
Lemon Blast Ball Python,"They can be characterized as solitary. Their temperament can be characterized as docile, curious and hardy.Their aggression level is low.",,"This animal has scales.Its body can be gold, yellow, dark, white, light-brown, golden, brown, cream and tan.","This animal's natural habitat is grasslands, savannas and forests.",It has a nocturnal lifestyle.
Lemon Cuckoo Bumblebee,They usually live in colonies. Their temperament can be characterized as mild except when commandeering a host nest.Their aggression level is high.,,This animal has an exoskeleton.Its body can be black and yellow.,This animal's natural habitat is subterranean nests.,It has a diurnal lifestyle.
Lemon Shark,They usually live in pods and can be characterized as solitary. Their temperament can be characterized as gentle and non-aggressive.Their aggression level is low.,11.26538,This animal's skin is smooth.Its body can be white and grey.,,
Lemur,,19.31208,"This animal has fur.Its body can be black, white, brown and grey.",This animal's natural habitat is dry forest and tropical jungle.,It has a group lifestyle.
Leonberger,,25.74944,"This animal has hair.Its body can be yellow, sandy and red.",,
Leopard Cat,,72.4203,"This animal has fur.Its body can be black, yellow, white and grey.",This animal's natural habitat is tropical forests.,It has a solitary lifestyle.
Leopard Frog,,,"This animal's skin is permeable.Its body can be black, green and brown.","This animal's natural habitat is forest, grassland and wetland.",
Leopard Gecko,,,"This animal has scales.Its body can be black, yellow, white, orange, brown and grey.","This animal's natural habitat is arid, rocky deserts, scrublands throughout the middle east; countries include india, afghanistan, pakistan, nepal and and iran.",
Leopard Lizard,,,"This animal has scales.Its body can be yellow, dark, white, light-brown and brown.",This animal's natural habitat is semiarid plains and scrublands.,
Leopard Seal,,40.2335,This animal has fur.Its body can be black and grey.,This animal's natural habitat is cold waters of the southern hemisphere.,It has a herd lifestyle.
Leopard Shark,They can be characterized as mainly solitary.Their aggression level is low.,,"This animal has scales.Its body can be black, white, brown, tan and grey.",This animal's natural habitat is ocean.,It has a nocturnal lifestyle.
Leopard Tortoise,,0.48280199999999995,"This animal has scales.Its body can be black, yellow, brown, tan and grey.",This animal's natural habitat is grassland and savannah.,It has a solitary lifestyle.
Leopard,,57.93624,"This animal has fur.Its body can be black, yellow, dark, golden and brown.","This animal's natural habitat is rainforest, grassland and mountainous regions.",It has a nocturnal lifestyle.
Leptocephalus,,,,,
Lesser Jacana,,,"This animal has feathers.Its body can be chestnut, black, grey-brown and white.",This animal's natural habitat is shallow waters of freshwater wetlands.,It has a diurnal lifestyle.
Lesser Scaup,They usually live in flocks.Their aggression level is low.,,"This animal has feathers.Its body can be black, white, olive, brown, dull and grey.",This animal's natural habitat is on the ground.,It has a flock lifestyle.
Lhasa Apso,,,"This animal has hair.Its body can be black, sandy, white, golden, brown and blonde.",,
Lhasapoo,,,,,
Liger,,80.467,"This animal has fur.Its body can be tan, orange, black and brown.",This animal's natural habitat is do not occur in the natural world.,It has a diurnal and nocturnal lifestyle.
Limpet,They can be characterized as solitary.Their aggression level is low.,,"This animal has a shell.Its body can be green, white, brown and grey.",This animal's natural habitat is intertidal zones and rocky shores.,It has a nocturnal lifestyle.
Lineback Cattle,,40.2335,"This animal's skin is leather.Its body can be black, dark, white, light-brown and brown.",This animal's natural habitat is grass land.,It has a herd lifestyle.
Linnet 2,They usually live in pairs or flocks.Their aggression level is low.,,This animal has feathers.Its body can be multi-colored.,"This animal's natural habitat is scrub, wasteland, heath and urban areas.",It has a diurnal lifestyle.
Lion,,56.3269,"This animal has fur.Its body can be gold, tawny, brown and blonde.","This animal's natural habitat is open woodland, scrub and grassland.",It has a diurnal and nocturnal lifestyle.
Lionfish,,,"This animal has scales.Its body can be black, white, red, orange and brown.",This animal's natural habitat is tropical reefs and rocky crevices.,
Lions Mane Jellyfish,,,,This animal's natural habitat is cooler ocean waters.,
Liopleurodon 2,,,,This animal's natural habitat is marine waters.,
Liopleurodon,,,,This animal's natural habitat is shallow marine habitat.,
Lipstick Albino Boa,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be yellow, red, albino, orange and cream.",,It has a diurnal and nocturnal lifestyle.
Little Brown Bat,,33.79614,"This animal has hair.Its body can be gold, dark, red, olive and brown.",This animal's natural habitat is forests.,
Little Penguin,,,"This animal has feathers.Its body can be black, white, blue and grey.",This animal's natural habitat is rocky antarctic islands.,It has a colony lifestyle.
Livyatan,,,,,
Lizard,,24.1401,"This animal has scales.Its body can be black, yellow, green, brown and tan.",This animal's natural habitat is warm forests and deserts worldwide.,It has a solitary lifestyle.
Lizardfish,,,"This animal has scales.Its body can be black, olive, white and brown.",This animal's natural habitat is oceans and seas.,
Llama,,45.06152,"This animal has fur.Its body can be tan, black, white and brown.",This animal's natural habitat is mountainous deserts and grasslands.,It has a herd lifestyle.
Loach,,,,This animal's natural habitat is rivers.,
Lobster,,19.31208,"This animal has a shell.Its body can be blue, orange, red and brown.",This animal's natural habitat is sea gardens and rocky beds.,It has a solitary lifestyle.
Locust,,,"This animal has an exoskeleton.Its body can be black, green and brown.",,
Loggerhead Shrike,,,,This animal's natural habitat is in trees.,
Lone Star Tick,,,This animal has an exoskeleton.Its body can be brown.,,
Long Eared Owl,,49.88954,"This animal has feathers.Its body can be tan, black, yellow and brown.",This animal's natural habitat is coniferous forests.,It has a solitary lifestyle.
Long Haired Rottweiler,,38.62416,This animal has hair.Its body can be tan and black.,,
Long Tailed Tit,,43.45218,,"This animal's natural habitat is moorlands, farmlands, town and city gardens.",
Long Winged Kite Spider,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal's skin is spiky.Its body can be black, yellow, white, red and brown.",,It has a diurnal lifestyle.
Longfin Mako Shark,They can be characterized as solitary.Their aggression level is medium.,,,"This animal's natural habitat is tropical, subtropical and and temperate oceans.",It has a crepuscular and nocturnal lifestyle.
Longnose Gar,,,"This animal has scales.Its body can be black, olive, brown and grey.","This animal's natural habitat is brackish waters, fresh waters, saline waters (not salty waters). found in texas, mexico, florida, michigan and and wisconsin.",
Lorikeet,,,"This animal has feathers.Its body can be black, green, red, purple and blue.",This animal's natural habitat is forests and groves.,
Loris,They usually live in small families or family units.Their aggression level is medium.,,"This animal has fur.Its body can be dark, brown and light-brown.",This animal's natural habitat is rainforests.,It has a nocturnal lifestyle.
Lowchen,,,"This animal has hair.Its body can be black, chocolate, cream, blue, tan and silver.",,
Lumpfish,,,"This animal has skin.Its body can be black, white, blue, brown and grey.",This animal's natural habitat is atlantic and pacific oceans.,
Luna Moth Caterpillar,They can be characterized as solitary. Their temperament can be characterized as docile and solitary.Their aggression level is low.,,This animal has an exoskeleton.Its body can be green.,This animal's natural habitat is forests and woodlands.,It has a diurnal lifestyle.
Luna Moth,They can be characterized as solitary except during mating season. Their temperament can be characterized as docile.Their aggression level is low.,,This animal has an exoskeleton.Its body can be green.,"This animal's natural habitat is luna moths live in the deciduous woodlands, forests of north america and specifically in the eastern regions.",It has a nocturnal lifestyle.
Lungfish,,,"This animal has scales.Its body can be yellow, green, blue, brown and grey.","This animal's natural habitat is rivers, lakes, wetlands and streams.",
Lurcher,,,,,
Lykoi Cat,,48.2802,This animal has hair.Its body can be black.,,It has a domesticated lifestyle.
Lynx,,80.467,"This animal has fur.Its body can be tan, black, yellow and brown.",This animal's natural habitat is secluded forests and mountainous regions.,It has a solitary lifestyle.
Lyrebird,,14.48406,This animal has feathers.Its body can be brown and grey.,This animal's natural habitat is bushland and rainforests.,
Lystrosaurus,,,,,
Macaque,,,"This animal has hair.Its body can be black, white, red, brown and tan.","This animal's natural habitat is plains, mountains and and rainforests.",
Macaroni Penguin,,35.40548,"This animal has feathers.Its body can be black, yellow, white and brown.",This animal's natural habitat is sea and ice-islands in sub-antarctica.,It has a colony lifestyle.
Macaw,,24.1401,"This animal has feathers.Its body can be yellow, green, white, red and blue.",This animal's natural habitat is rainforests and tropical jungle.,It has a flock lifestyle.
Macgillivrays Warbler,They usually live in pairs and can be characterized as solitary. Their temperament can be characterized as somewhat territorial.Their aggression level is medium.,,"This animal has feathers.Its body can be black, yellow, white, olive and dull.","This animal's natural habitat is disturbed forests with thick undergrowth, thickets and shrubs.",It has a pair and diurnal lifestyle.
Machaeroides,,4.82802,This animal has fur.Its body can be brown.,This animal's natural habitat is north american plains.,
Mackenzie Wolf,,64.3736,This animal has fur.Its body can be white and grey.,This animal's natural habitat is mountains and forests..,
Macrauchenia,,,,This animal's natural habitat is found in environments that ranged from dry to humid..,
Madagascar Hissing Cockroach,,3.21868,This animal has an exoskeleton.Its body can be brown.,,
Madagascar Jacana,,,"This animal has feathers.Its body can be chestnut, black, white and blue.",This animal's natural habitat is freshwater wetlands with abundant aquatic vegetation.,It has a diurnal lifestyle.
Madagascar Tree Boa,They can be characterized as solitary except during mating season.Their aggression level is low.,,,,It has a nocturnal lifestyle.
Madora Moth,,,"This animal has an exoskeleton.Its body can be fawn, green, red and brown.","This animal's natural habitat is mopane tree, mango tree and tress close to the mopane tree.",
Magellanic Penguin,,35.40548,"This animal has feathers.Its body can be black, white, brown and grey.",This animal's natural habitat is antarctic islands.,It has a flock lifestyle.
Maggot,,,This animal has skin.Its body can be white.,This animal's natural habitat is damp surfaces with decaying matter.,
Magnolia Warbler,,,"This animal has feathers.Its body can be black, yellow, white and grey.",This animal's natural habitat is lush forests.,It has a diurnal lifestyle.
Magpie,,32.1868,This animal has feathers.Its body can be black and white.,"This animal's natural habitat is open woodland, grasslands and savannas.",It has a solitary lifestyle.
Magyarosaurus,,,,This animal's natural habitat is it lived on an island with sub-humid climate.,
Mahi Mahi Dolphin Fish,,,"This animal has scales.Its body can be gold, beige, green and blue.","This animal's natural habitat is temperate, tropical and and subtropical waters.",
Maiasaura,,,,,
Maine Coon,,,"This animal has hair.Its body can be gold, black, white, red, blue, brown, cream and silver.",,
Mal Shi,They can be characterized as social.Their aggression level is low.,,This animal has fur.Its body can be multi-colored.,,It has a diurnal lifestyle.
Malayan Civet,,,"This animal has fur.Its body can be black, yellow, white, brown, tan and grey.",This animal's natural habitat is tropical rainforest.,It has a solitary lifestyle.
Malayan Krait,,,"This animal has scales.Its body can be black, white and blue.",,
Malayan Tiger,,96.5604,"This animal has fur.Its body can be orange, black and white.",This animal's natural habitat is dense tropical forest.,It has a solitary lifestyle.
Malchi,,,"This animal has hair.Its body can be black, beige, sandy, dark, white, black-brown, light-brown, golden, brown, cream, tan, blonde, white-brown and grey.",,
Mallard,,96.5604,"This animal has feathers.Its body can be green, white, orange, brown and grey.","This animal's natural habitat is wetlands, lakes, streams and and ponds.",
Malteagle,,,"This animal has hair.Its body can be cream, black, white and brown.",,
Maltese Mix,,,"This animal has fur.Its body can be black, white, brown, tan, blonde and grey.",,
Maltese Shih Tzu,,,"This animal has hair.Its body can be tan, black, white and brown.",,It has a pack lifestyle.
Maltese,,,,,
Maltipom,"They usually live in packs. Their temperament can be characterized as gentle, affectionate and alert.Their aggression level is low.",,"This animal has hair.Its body can be black, fawn, white, cream and brown.",,It has a pack lifestyle.
Maltipoo,,,,,
Mamba,,,"This animal has scales.Its body can be green, brown and grey.",,
Mamushi Snake,They can be characterized as solitary.Their aggression level is medium.,,,,It has a nocturnal lifestyle.
Man Of War Jellyfish,,,"This animal has skin.Its body can be pink, blue and purple.",This animal's natural habitat is tropical and sub-tropical oceans.,
Manatee,,20.92142,This animal's skin is smooth.Its body can be brown and grey.,This animal's natural habitat is warm coastal waters and slow-moving rivers.,It has a solitary lifestyle.
Manchester Terrier,,,"This animal has hair.Its body can be tan, black and blue.",,
Mandarin Rat Snake,,,,,
Mandrill,,40.2335,"This animal has fur.Its body can be black, white, brown, tan and grey.",This animal's natural habitat is dense and coastal tropical forests.,It has a troop lifestyle.
Maned Wolf,,75.63898,"This animal has fur.Its body can be orange, black and brown.","This animal's natural habitat is semi-open habitats such as grasslands, forests and and scrub prairies.",It has a crepuscular and nocturnal lifestyle.
Mangrove Snake,They can be characterized as solitary.Their aggression level is medium.,,,,
Mangrove Snapper,,,,,It has a nocturnal lifestyle.
Manta Ray,,32.1868,"This animal's skin is smooth.Its body can be black, white, blue and grey.",This animal's natural habitat is all world oceans.,
Mantella Frog,,,"This animal's skin is permeable.Its body can be black, yellow, green, orange and blue.",This animal's natural habitat is island of madagascar.,
Marabou Stork,,,"This animal has feathers.Its body can be black, white and red.","This animal's natural habitat is deserts, savannas, wet areas, towns and cities.",
Marans Chicken,They usually live in flocks. Their temperament can be characterized as friendly and sometimes contentious.Their aggression level is low.,,This animal has feathers.Its body can be multi-colored.,"This animal's natural habitat is originated in swamps, now primarily kept in small and captive flocks.",It has a flock and diurnal lifestyle.
Marble Fox,,48.2802,"This animal has fur.Its body can be black, white and brown.",This animal's natural habitat is human captivity.,
Maremma Sheepdog,,,,,
Margay,They usually live in pairs and can be characterized as solitary. Their temperament can be characterized as territorial.Their aggression level is medium.,,"This animal has fur.Its body can be black, yellow, white, light-brown, brown and tan.",This animal's natural habitat is deciduous or evergreen forests or forested areas within savannas.,It has a solitary lifestyle.
Marine Iguana,,38.62416,This animal's skin is tough.Its body can be black.,This animal's natural habitat is rocky shoreline on galápagos islands.,
Marine Toad,,8.0467,"This animal's skin is permeable.Its body can be black, green, brown, tan and grey.",This animal's natural habitat is forests and fields close to water.,It has a solitary lifestyle.
Markhor,,16.0934,"This animal has hair.Its body can be black, white, brown, tan and grey.",This animal's natural habitat is sparsely wooded cliff-sides.,It has a herd lifestyle.
Marmoset,,38.62416,"This animal has fur.Its body can be orange, black, silver and brown.",This animal's natural habitat is tropical forests and rainforest..,
Marmot,,4.82802,"This animal has hair.Its body can be yellow, white and brown.","This animal's natural habitat is meadows, steppes and forest edges.",
Marsh Frog,,8.0467,"This animal's skin is permeable.Its body can be black, yellow, green, white and brown.","This animal's natural habitat is ponds, lakes and rivers.",It has a solitary lifestyle.
Marsican Brown Bear,They can be characterized as solitary. Their temperament can be characterized as mild and not aggressive.Their aggression level is low.,,"This animal has fur.Its body can be golden, beige and brown.","This animal's natural habitat is mountainous and mixed deciduous-coniferous
                
                 forest.",It has a nocturnal lifestyle.
Masiakasaurus,,,,This animal's natural habitat is island of madagascar.,
Masked Angelfish,,,,,
Masked Palm Civet,,,"This animal has fur.Its body can be black, yellow, white, brown, tan and grey.",This animal's natural habitat is tropical rainforest.,It has a solitary lifestyle.
Mason Bee,They can be characterized as solitary. Their temperament can be characterized as mild.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, yellow, dark, green, orange, blue, brown, tan and cream.","This animal's natural habitat is forests, meadows, gardens and and orchards.",It has a diurnal lifestyle.
Massasauga,,,"This animal has scales.Its body can be tan, black, brown and grey.","This animal's natural habitat is prairie, marsh and and lake areas.",It has a diurnal and nocturnal lifestyle.
Mastador,,,"This animal has hair.Its body can be brindle, black, yellow and brown.",,
Mastiff Mix,They can be characterized as solitary.Their aggression level is medium.,,,,It has a diurnal lifestyle.
Mastiff,,,,,
Mauzer,They can be characterized as solitary.Their aggression level is medium.,,"This animal has fur.Its body can be black, white, brown and grey.",,It has a diurnal lifestyle.
May Beetle,,,"This animal has an exoskeleton.Its body can be black, brown and black-brown.",,It has a nocturnal lifestyle.
Mayan Cichlid,,,,This animal's natural habitat is mangrove roots or substrate.,It has a diurnal and crepuscular lifestyle.
Mayfly,,,"This animal has a shell.Its body can be black, yellow, green, brown, tan and grey.",This animal's natural habitat is forest and woodland close to water.,
Meagle,,,"This animal has hair.Its body can be black, chocolate, white, cream and brown.",,
Mealworm Beetle,,,"This animal has an exoskeleton.Its body can be black, yellow and brown.","This animal's natural habitat is weed-filled habitats, under stones or rocks, in leaf litter and or on decomposing logs.",It has a nocturnal lifestyle.
Mealybug,,,This animal has an exoskeleton.Its body can be yellow and white.,This animal's natural habitat is plants.,
Meerkat,,32.1868,"This animal has fur.Its body can be black, yellow, white, brown and tan.",This animal's natural habitat is semi-desert and scrub-land.,It has a diurnal lifestyle.
Megalania,,9.65604,,,
Megalochelys,,,,,
Megalodon Shark,,,,This animal's natural habitat is coastal ocean waters.,It has a solitary lifestyle.
Megamouth Shark,,2.092142,"This animal's skin is rough.Its body can be black, white and brown.",This animal's natural habitat is oceans.,
Meganeura,,,,This animal's natural habitat is humid wetlands near freshwater.,
Megatherium,,,,,
Meiolania,,,,,
Mekong Giant Catfish,,,This animal has skin.Its body can be white and grey.,This animal's natural habitat is mekong river.,
Merganser,,69.20162,"This animal has feathers.Its body can be black, green, white, red and brown.",This animal's natural habitat is lakes and rivers of forested areas.,It has a diurnal lifestyle.
Mexican Alligator Lizard,,,This animal has scales.Its body can be orange and green.,This animal's natural habitat is mesic cloud and pine-oak forest canopies.,
Mexican Black Kingsnake,,,,,
Mexican Eagle Northern Crested Caracara,,,,"This animal's natural habitat is prairies, deserts and and other semi-open terrains.",
Mexican Fireleg Tarantula,They can be characterized as solitary. Their temperament can be characterized as docile but a bit skittish.Their aggression level is low.,,"This animal has bristled hairs.Its body can be orange, black and red.",This animal's natural habitat is desert scrub land and forests.,It has a nocturnal lifestyle.
Mexican Free Tailed Bat,,75.63898,"This animal has fur.Its body can be brown, black, dark and grey.","This animal's natural habitat is caves, tunnels and under bridges.",
Mexican Mole Lizard,,,This animal has scales.Its body can be pink and grey.,"This animal's natural habitat is desert, dune and shrubland.",
Microraptor,,,This animal has feathers.Its body can be black.,This animal's natural habitat is forests of ancient china.,It has a nocturnal lifestyle.
Midget Faded Rattlesnake,They usually live in communal dens and can be characterized as mainly solitary. Their temperament can be characterized as mellow and non-aggressive.Their aggression level is low.,,"This animal has scales.Its body can be silver, yellow, brown and grey.","This animal's natural habitat is rock outcrops, sagebrush and high desert..",It has a diurnal and crepuscular lifestyle.
Miki,,,"This animal has hair.Its body can be black, chocolate, peach, white and blue.",,
Milk Snake,,,"This animal has scales.Its body can be black, yellow and red.",,
Milkfish,,,"This animal has scales.Its body can be silver, green, white and blue.",This animal's natural habitat is tropical freshwater lakes and rivers.,
Milkweed Aphids,They usually live in groups.Their aggression level is low.,,This animal has an exoskeleton.Its body can be black and yellow.,This animal's natural habitat is tropical and mediterranean climates.,It has a diurnal lifestyle.
Millipede,,,"This animal has a shell.Its body can be black, yellow, red, orange and brown.",This animal's natural habitat is moist micro-habitats.,
Mini Labradoodle,,,,,
Mini Lop,They usually live in herds. Their temperament can be characterized as docile.Their aggression level is low.,,This animal has fur.Its body can be multi-colored.,,It has a crepuscular lifestyle.
Miniature Bull Terrier,,,"This animal has hair.Its body can be brindle, black, fawn, white, red and tan.",,
Miniature Husky,,,"This animal has hair.Its body can be black, white, red, brown and grey.",,
Miniature Pinscher,,24.1401,"This animal has hair.Its body can be black, chocolate, fawn, red, blue and grey.",,
Mink,,6.43736,,"This animal's natural habitat is banks of fivers, lakes, streams and ponds.",
Minke Whale,,20.92142,"This animal's skin is smooth.Its body can be black, white, brown and grey.","This animal's natural habitat is temperate, tropic and or sub tropic waters.",It has a herd lifestyle.
Mississippi Kite,,,"This animal has feathers.Its body can be black, yellow, white and grey.","This animal's natural habitat is hardwood forests, prairies and and urban environments.",
Moccasin Snake,,,"This animal has scales.Its body can be black, olive and brown.",,
Mockingbird,They usually live in pairs and can be characterized as solitary.Their aggression level is high.,,"This animal has feathers.Its body can be black, white, blue, brown and grey.","This animal's natural habitat is mostly open areas, sparse forests, forest edges, parks, urban areas, suburban areas, pastures, grasslands, savannas, shrublands and desert edges.","It has a pair, diurnal and solitary lifestyle."
Modern Game Chicken,,,This animal has feathers.Its body can be multi-colored.,This animal's natural habitat is captivity; prefers warm climates.,It has a flock and diurnal lifestyle.
Mojarra,,,,,It has a school lifestyle.
Mojave Ball Python,"They can be characterized as solitary. Their temperament can be characterized as docile, curious and hardy.Their aggression level is low.",,"This animal has scales.Its body can be gold, yellow, dark, white, brown, tan and grey.","This animal's natural habitat is grasslands, savannas and forests.",It has a nocturnal lifestyle.
Mojave Rattlesnake,,,,,
Mola Mola Ocean Sunfish,,,"This animal has skin.Its body can be silver, brown and grey.",,
Mole Crab Sand Flea,,,This animal has an exoskeleton.Its body can be sandy.,This animal's natural habitat is tropical and subtropical beaches.,It has a nocturnal lifestyle.
Mole Cricket,,,"This animal has an exoskeleton.Its body can be tan, red and brown.",,
Mole Snake,They can be characterized as solitary.Their aggression level is medium.,,,,It has a nocturnal lifestyle.
Mole,,6.43736,"This animal has fur.Its body can be black, white, brown and grey.","This animal's natural habitat is woodland, grassland and farmland.",It has a solitary lifestyle.
Mollusk,,,,This animal's natural habitat is terrestial and aquatic habitats worldwide.,It has a nocturnal lifestyle.
Molly,,,"This animal has scales.Its body can be black, yellow, green, white, red, orange, blue and brown.",This animal's natural habitat is rivers in the amazon rainforest.,
Monarch Butterfly,,19.31208,"This animal has scales.Its body can be orange, black and white.","This animal's natural habitat is sunny places with streams, vegetation and and few predators (wintering habitat).",It has a diurnal lifestyle.
Mongoose,,32.1868,"This animal has fur.Its body can be tan, brown and grey.",This animal's natural habitat is open forests and grass plains.,It has a gang lifestyle.
Mongrel,,,,,
Monitor Lizard,,45.06152,"This animal has scales.Its body can be tan, green, brown and grey.",This animal's natural habitat is river banks and coastal forests.,It has a solitary lifestyle.
Monkey,,56.3269,"This animal has hair.Its body can be black, yellow, white, brown, tan and grey.","This animal's natural habitat is tropical forests, grasslands and mountainous plains.",It has a troop lifestyle.
Monkfish,,,This animal has hair.Its body can be brown.,"This animal's natural habitat is oceans (generally found at 20-1,000 meter depths).",
Monocled Cobra,,,,"This animal's natural habitat is grasslands, forests, shrub lands, swamps and and agricultural fields.",It has a crepuscular lifestyle.
Monte Iberia Eleuth,,8.0467,"This animal's skin is permeable.Its body can be black, yellow, white and brown.",This animal's natural habitat is water around mount iberia.,It has a solitary lifestyle.
Moon Jellyfish,,8.0467,,This animal's natural habitat is temperate ocean.,It has a smack and bloom lifestyle.
Moonglow Boa,They can be characterized as solitary except during mating season.Their aggression level is low.,,This animal has scales.Its body can be yellow and white.,,It has a diurnal and nocturnal lifestyle.
Moorhen,,35.40548,"This animal has feathers.Its body can be black, white and brown.","This animal's natural habitat is marshes, wetlands and ponds.",It has a flock lifestyle.
Moose,,32.1868,"This animal has hair.Its body can be tan, brown and grey.",This animal's natural habitat is forest areas close to the arctic tundra.,It has a herd lifestyle.
Moray Eel,,,"This animal has scales.Its body can be black, yellow, green, white, orange, blue, brown and grey.",This animal's natural habitat is coastal and deep waters.,
Morkie,,,"This animal has hair.Its body can be black, white and brown.",,
Morpho Butterfly,They can be characterized as solitary except during mating season.Their aggression level is medium.,,This animal has an exoskeleton.Its body can be multi-colored.,This animal's natural habitat is old-growth or secondary forests.,It has a diurnal lifestyle.
Mosasaurus,They can be characterized as solitary.Their aggression level is high.,48.2802,"This animal has scales.Its body can be black, white, dark and grey.","This animal's natural habitat is shorelines, lagoons and shallow coastal waters.",It has a nocturnal lifestyle.
Moscow Watchdog,,,"This animal has hair.Its body can be black, white and red.",,
Mosquito,,2.41401,"This animal has an exoskeleton.Its body can be black, red, white and brown.",,
Moth,,,"This animal has scales.Its body can be black, yellow, white, red, orange and brown.",This animal's natural habitat is quiet forests and pastures.,
Mountain Beaver,They usually live in colonies and can be characterized as solitary.Their aggression level is medium.,,"This animal has hair.Its body can be tan, red, brown and grey.",This animal's natural habitat is dense forests and mountains.,It has a diurnal lifestyle.
Mountain Bluebird,,32.1868,"This animal has feathers.Its body can be blue, white, brown and grey.",This animal's natural habitat is plains and mountains.,
Mountain Cur,,,,,
Mountain Feist,,,"This animal has hair.Its body can be brindle, black, white, red, blue, brown, silver and grey.",,
Mountain Gorilla,,40.2335,"This animal has hair.Its body can be black, brown and grey.",This animal's natural habitat is tropical forest and jungles in mountainous regions.,It has a social lifestyle.
Mountain Lion,,48.2802,"This animal has fur.Its body can be tan, black and brown.",This animal's natural habitat is forest and mountainous regions.,It has a solitary lifestyle.
Mourning Dove,,88.5137,,"This animal's natural habitat is trees, shrubs, vines, buildings, hanging flower pots and ground.",
Mourning Warbler,They usually live in pairs and can be characterized as mainly solitary. Their temperament can be characterized as moderately territorial.Their aggression level is medium.,,"This animal has feathers.Its body can be black, yellow, olive, dull and grey.","This animal's natural habitat is sparsely wooded areas, including disturbed or burned forests, with dense undergrowth; shrublands or overgrown grasslands with thickets, dense and low vegetation.",It has a pair and diurnal lifestyle.
Mouse Deer Chevrotain,,,"This animal has fur.Its body can be orange, black, red and brown.",This animal's natural habitat is dense wet forests.,It has a nocturnal lifestyle.
Mouse Spider,They can be characterized as solitary.Their aggression level is medium.,,This animal has an exoskeleton.Its body can be black and brown.,This animal's natural habitat is semi-arid forests or open shrublands..,
Mouse,,12.87472,"This animal has fur.Its body can be black, brown and grey.",This animal's natural habitat is open fields and woodland areas.,It has a solitary lifestyle.
Mozambique Spitting Cobra,,,"This animal has scales.Its body can be black, yellow, black-brown, olive, tawny, blue, pink and grey.",,
Mud Snake,They can be characterized as solitary except during mating season.Their aggression level is low.,,This animal has scales.Its body can be multi-colored.,,It has a diurnal and nocturnal lifestyle.
Mudi,,,"This animal has hair.Its body can be fawn, black, white and brown.",,
Mudpuppy,,,"This animal has skin.Its body can be red, brown and grey.",,
Mudskipper,They usually live in groups and can be characterized as solitary.Their aggression level is high.,,"This animal has skin.Its body can be dark, green, brown and light-brown.",This animal's natural habitat is burrows in mud or sand.,
Mule Deer,"They usually live in herds and can be characterized as solitary. Their temperament can be characterized as mild-mannered, sedentary and not agressive.Their aggression level is low.",72.4203,This animal has fur.Its body can be brown and grey.,This animal's natural habitat is mountainous forests and scrublands.,It has a nocturnal lifestyle.
Mule,,24.1401,"This animal has fur.Its body can be black, brown and grey.",,It has a herd lifestyle.
Mulga Snake,,,,,
Mullet Fish,They usually live in schools.Their aggression level is low.,,This animal has scales.Its body can be silver and grey.,"This animal's natural habitat is ocean, rivers and streams when spawning.",It has a school lifestyle.
Muntjac,,,"This animal has hair.Its body can be black, white and brown.","This animal's natural habitat is forests, scrublands, savannas and and grasslands.",
Muscovy Duck,,,"This animal has feathers.Its body can be black, chocolate, green, white, purple and blue.","This animal's natural habitat is wetlands, swamps, streams, grasslands, forests, lakes, rivers and and agricultural areas..",It has a diurnal lifestyle.
Musk Deer,They can be characterized as solitary.Their aggression level is low.,,This animal has fur.Its body can be brown and grey.,This animal's natural habitat is forested hills and alpine scrub lands.,It has a crepuscular and nocturnal lifestyle.
Muskellunge Muskie,,,"This animal has scales.Its body can be yellow, green and cream.",,
Muskox,,59.54558,"This animal has fur.Its body can be dark, white and brown.",,
Muskrat,,4.82802,This animal has hair.Its body can be black and brown.,"This animal's natural habitat is lakes, ponds and and wetlands.",
Mussurana Snake,They can be characterized as solitary.Their aggression level is low.,,,,
Muttaburrasaurus 2,They usually live in herds.Their aggression level is low.,,,,
Muttaburrasaurus,,,,,
Myna Bird,,80.467,"This animal has feathers.Its body can be black, yellow, dark, white and brown.","This animal's natural habitat is extensive, including farms, cities, forests, deserts, open forests, moist forests, mountain forests, dry woodlands, jungles, plantations and dwarf forests.",
Nabarlek,They can be characterized as solitary. Their temperament can be characterized as secretive.Their aggression level is medium.,,"This animal has fur.Its body can be black, red and grey.","This animal's natural habitat is rocky slopes with boulders, caves, crevices, near grass and sedge or ferns for foraging.",It has a diurnal and nocturnal lifestyle.
Naegleria,They can be characterized as solitary.Their aggression level is medium.,,,This animal's natural habitat is warm freshwater and soil.,It has a solitary lifestyle.
Naked Mole Rat,,,This animal has skin.Its body can be yellow and pink.,This animal's natural habitat is underground.,
